id,advisor_id,additional_text_1,additional_text_2,additional_text_3,additional_text_4,additional_text_5,additional_text_6,created_at,updated_at
37,152,,,,,,,2/13/2020 23:40,2/13/2020 23:40
48,450,"We are rated 4.80% out of 5.00 for Client Satisfaction on Vouched For, www.vouchedfor.com",See our website for full details of our service. www.cfislive.co.uk,Cornwall Finance & Investment Services Ltd and is entered in the Financial Conduct Authority services register under reference number:596144.,,,,10/8/2020 22:54,1/27/2021 23:59
49,454,Bristol & West Financial Services LTD is an appointed representative of LJ Financial Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number:627322,,,,,,10/9/2020 20:52,12/18/2020 21:21
50,496,"RBM Solutions is a trading style of Reece Blake Marsh Solutions Ltd, who are an appointed representative of PKD Private Finance Ltd is authorised and regulated by the Financial Conduct Authority. 

Our financial Services Number: 918388 (PKD Private Finance Ltd 846083). Company Registered in England and Wales, registration number 11306207.

We refer to Better Wealth Management company for pension and Investment advice who are regulated by the FCA 153420.

If you wish to register a complaint, please write to info@rbmsolutions.co.uk or telephone 02392 295046

A summary of our internal complaints handling procedures for the reasonable and prompt handling of complaints is available on request and if you cannot settle your complaint with us, you may be entitled to refer it to the Financial Ombudsman Service at www.financial-ombudsman.org.uk or by contacting them on 0800 0234 567.",,,,,,10/29/2020 23:40,10/29/2020 23:40
51,541,One Financial Solutions Ltd is an appointed representative of 2plan wealth management Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 607130.,,,,,,11/28/2020 1:45,12/12/2020 2:01
52,535,Resolve Financial Solutions is an appointed representative of Sense Network Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 724846.,,,,,,12/8/2020 23:12,12/8/2020 23:12
53,543,mortgagePA.co.uk is a trading name of SSRE Group Ltd. SSRE Group Ltd is an appointed representative of Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 825145.,,,,,,12/10/2020 23:21,12/11/2020 23:43
54,437,Sandringham Financial Partners Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 581304.,,,,,,12/11/2020 2:51,12/11/2020 2:51
55,546,Red Kite Wealth Management Ltd is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 800111.,,,,,,12/11/2020 4:02,12/11/2020 4:02
56,547,Eunisure Ltd. is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 485047.,,,,,,12/11/2020 4:47,12/11/2020 4:47
57,548,Buchanan Financial Planning  is an appointed representative of St. James’s Place Wealth Management PLC and is entered in the Financial Conduct Authority (FCA) services register under reference number: 803580,,,,,,12/11/2020 22:23,12/11/2020 22:23
58,549,Pocock Rutherford & Co Limited is an appointed representative of Quilter Financial Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number 531661.,,,,,,12/14/2020 21:40,12/14/2020 21:40
59,540,SMC Financial Services Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the Financial Conduct Authority services register under reference number: 812935.,,,,,,12/14/2020 21:41,12/14/2020 21:41
60,539,Alterno is a trading name of Alterno Wealth Ltd. Alterno Wealth Ltd is an appointed representative of Pi Financial Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 803925.,,,,,,12/14/2020 22:56,12/14/2020 22:56
61,537,Buchanan Financial Planning is a trading name of Scott Buchanan. Scott Buchanan an appointed representative of St. James's Place Wealth Management plc and is entered in the Financial Conduct Authority (FCA) services register under reference number: 803580.,,,,,,12/14/2020 23:20,12/14/2020 23:20
62,550,Protect your nest is an appointed representative of PRIMIS Mortgage Network. PRIMIS Mortgage Network is a trading name of Personal Touch Financial Services Ltd and is entered in the Financial Conduct Authority services register under reference number 912641.,,,,,,12/14/2020 23:26,12/15/2020 21:39
64,534,"True Potential Wealth Limited is authorised and regulated by the Financial Conduct Authority (FCA) and is entered in the
Financial Conduct Authority services register under reference number: 529810",,,,,,12/14/2020 23:59,12/14/2020 23:59
65,533,Quilter Financial Advisers Limited is an appointed representative of Quilter Financial Services Limited and Quilter Mortgage Planning Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 452529.,,,,,,12/15/2020 1:32,12/15/2020 1:32
66,531,Our Mortgage Broker Limited is an appointed representative of Beneficial Life (London) Ltd and is entered in the Financial Conduct Authority (FCA) services register under reference number: 835511.,,,,,,12/15/2020 1:49,12/15/2020 1:49
67,529,The Equity Release Experts is a trading name of Tere Advisors Ltd. Tere Advisors Ltd is an appointed representative of Key Retirement Solutions Limited and is entered in the Financial Conduct Authority (FCA) services register under reference number: 916047.,,,,,,12/15/2020 2:05,12/15/2020 2:05
